@RELATION POSIT

@attribute classification {Anti-extremist, Pro-extremist, neutral}
@attribute number_of_exclam numeric
@attribute number_of_dollar numeric
@attribute number_of_ast numeric
@attribute number_of_dot numeric
@attribute number_of_0 numeric
@attribute number_of_1 numeric
@attribute number_of_2 numeric
@attribute number_of_3 numeric
@attribute number_of_4 numeric
@attribute number_of_5 numeric
@attribute number_of_6 numeric
@attribute number_of_7 numeric
@attribute number_of_8 numeric
@attribute number_of_9 numeric
@attribute number_of_quest numeric
@attribute number_of_a numeric
@attribute number_of_b numeric
@attribute number_of_c numeric
@attribute number_of_d numeric
@attribute number_of_e numeric
@attribute number_of_f numeric
@attribute number_of_g numeric
@attribute number_of_h numeric
@attribute number_of_i numeric
@attribute number_of_j numeric
@attribute number_of_k numeric
@attribute number_of_l numeric
@attribute number_of_m numeric
@attribute number_of_n numeric
@attribute number_of_o numeric
@attribute number_of_p numeric
@attribute number_of_q numeric
@attribute number_of_r numeric
@attribute number_of_s numeric
@attribute number_of_t numeric
@attribute number_of_u numeric
@attribute number_of_v numeric
@attribute number_of_w numeric
@attribute number_of_x numeric
@attribute number_of_y numeric
@attribute number_of_z numeric
@attribute total_unique_chars numeric
@attribute total_chars numeric
@attribute specials numeric
@attribute total_words numeric
@attribute total_unique_words numeric
@attribute ttr numeric
@attribute number_of_sentences numeric
@attribute asl numeric
@attribute number_of_chars numeric
@attribute awl numeric
@attribute noun_types numeric
@attribute verb_types numeric
@attribute adjective_types numeric
@attribute preposition_types numeric
@attribute possessive_types numeric
@attribute personal_types numeric
@attribute determiner_types numeric
@attribute adverb_types numeric
@attribute particle_types numeric
@attribute interjection_types numeric
@attribute verbs numeric
@attribute nouns numeric
@attribute preposition numeric
@attribute possessive numeric
@attribute personal numeric
@attribute particles numeric
@attribute interjections numeric
@attribute determiners numeric
@attribute adverbs numeric
@attribute adjectives numeric

@data
Anti-extremist,0,0,116,108,29,25,3,18,18,10,6,18,33,40,28,310,61,127,131,393,79,95,98,307,6,34,145,153,294,338,91,13,290,336,350,151,50,48,1,59,11,7289,39,3,737,480,0.651289,24,30.7083,7281,9.87924,309,28,10,15,4,4,4,5,0,0,84,856,74,24,24,0,0,42,16,22
Anti-extremist,0,0,116,107,30,25,3,19,17,10,6,16,34,41,28,310,61,127,131,393,79,95,98,307,6,34,145,153,294,338,91,13,290,336,350,151,50,48,1,59,11,7289,39,3,737,480,0.651289,24,30.7083,7281,9.87924,309,28,10,15,4,4,4,5,0,0,84,856,74,24,24,0,0,42,16,22
Anti-extremist,0,1976,1,939,743,259,557,466,5,292,564,111,156,153,183,902,195,474,375,1550,298,302,400,900,48,132,521,453,854,1302,609,13,1184,771,1066,675,119,279,30,243,25,30970,40,4,3616,926,0.256084,91,39.7363,30969,8.56444,177,90,39,24,11,11,11,31,3,0,262,574,162,140,140,6,0,104,90,96
Anti-extremist,0,0,118,106,31,25,3,15,16,12,6,19,32,40,29,310,61,127,131,393,79,95,98,307,6,34,145,153,294,338,91,13,290,336,350,151,50,48,1,59,11,7289,39,3,737,481,0.652646,24,30.7083,7281,9.87924,309,28,10,15,4,4,4,5,0,0,84,856,74,24,24,0,0,42,16,22
Anti-extremist,0,394,706,210,392,93,4,4,313,86,67,55,817,61,99,9204,1244,3459,5818,9976,2036,1493,4286,7272,223,728,4530,2105,7387,7795,2097,77,6475,6597,7818,2173,1072,2124,126,1631,107,149561,40,4,19768,3569,0.180544,796,24.8342,149561,7.56581,167,59,39,20,12,12,6,10,1,0,152,912,132,38,38,2,0,74,30,94
Anti-extremist,0,0,138,10,152,132,19,161,47,52,15,8,13,24,11,897,263,355,403,1468,161,288,548,953,34,74,420,309,850,883,219,4,713,671,1076,275,162,310,30,196,19,15759,39,3,2497,874,0.35002,82,30.4512,15538,6.22267,171,84,31,22,11,11,11,24,7,0,298,692,142,68,68,28,0,134,70,106
Anti-extremist,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,23,5,7,11,24,4,4,13,23,2,7,16,10,25,28,5,1,22,15,29,14,2,7,1,9,2,465,28,2,65,54,0.830769,5,13,465,7.15385,36,6,1,4,2,2,1,2,1,0,12,82,8,6,6,2,0,6,4,2
Anti-extremist,0,8,23,2,22,7,4,41,15,5,16,16,4,4,4,168,19,123,72,250,95,36,81,200,16,44,102,72,106,150,87,1,129,102,137,58,41,20,2,39,1,5364,40,4,560,233,0.416071,15,37.3333,5364,9.57857,168,27,17,13,4,4,3,10,0,0,66,662,62,32,32,0,0,32,22,42
Anti-extremist,0,0,17,1,1,12,15,6,10,5,5,6,5,2,5,79,25,39,39,107,16,27,37,55,1,9,35,38,55,89,23,4,75,89,83,18,11,21,2,25,1,1760,39,3,220,160,0.727273,11,20,1759,7.99545,108,10,3,6,1,1,3,1,0,0,20,306,32,2,2,0,0,8,4,6
Anti-extremist,0,0,0,26,36,39,3,24,4,25,28,21,17,18,15,72,16,30,31,74,16,21,20,80,0,4,38,13,56,59,18,2,47,79,76,28,12,14,1,14,5,1382,37,2,251,202,0.804781,4,62.75,1382,5.50598,97,5,3,6,2,2,2,3,0,0,10,240,18,10,10,0,0,4,6,6
Anti-extremist,0,0,3,2,2,2,23,0,1,0,0,1,0,81,0,200,17,96,62,220,40,77,65,178,5,28,163,80,145,168,74,3,182,168,163,79,31,24,1,66,3,3081,34,3,432,245,0.56713,21,20.5714,3067,7.09954,146,45,16,13,10,10,6,18,1,0,112,508,68,44,44,2,0,46,46,46
Anti-extremist,0,0,11,1,1,2,1,0,6,0,7,0,8,0,0,19,6,13,5,29,6,6,9,23,0,3,7,15,24,29,11,2,21,17,28,11,2,3,3,5,0,408,32,3,64,55,0.859375,4,16,408,6.375,27,5,4,4,3,3,1,3,0,0,10,56,8,6,6,0,0,4,6,8
Anti-extremist,0,0,25,1,10,11,5,2,1,0,6,0,0,0,0,22,9,15,6,41,9,6,9,29,0,3,11,23,27,34,11,2,26,19,35,12,3,3,4,5,0,517,32,3,79,64,0.810127,4,19.75,517,6.5443,33,6,4,4,3,3,2,3,0,0,12,74,8,6,6,0,0,6,6,8
Anti-extremist,0,0,0,0,16,20,17,15,9,7,6,7,4,4,8,32,21,16,13,67,10,17,16,38,4,1,23,19,29,42,17,3,47,40,58,13,5,7,1,17,1,1850,37,1,154,132,0.857143,3,51.3333,1849,12.0065,69,6,1,7,0,0,3,1,0,0,12,158,20,0,0,0,0,8,2,2
Anti-extremist,0,0,116,107,17,30,3,3,16,16,11,18,31,40,28,303,57,126,137,369,74,81,95,271,5,38,141,135,278,294,76,11,280,329,315,133,40,50,2,54,11,7338,39,3,688,453,0.65843,14,49.1429,7330,10.6541,334,10,6,14,1,1,4,2,0,0,24,970,84,2,2,0,0,24,6,12
